100, 15260
200, 20000
300, 30090
400, 39540
500, 49280
600, 58740
700, 67500
800, 78610
900, 86910
1000, 97660
1100, 28410
1200, 21090
1300, 62020
1400, 30030
1500, 26990
1600, 29820
1700, 29920
1800, 34280
1900, 34820
2000, 41420
2100, 36670
2200, 41440
2300, 42040
2400, 61700
2500, 69680
2600, 66340
2700, 74440
2800, 76240
2900, 82160
3000, 88550
3100, 35440
3200, 39210
3300, 37030
3400, 37780
3500, 39140
3600, 40600
3700, 41580
3800, 43080
3900, 44080
4000, 45620
4100, 48520
4200, 50850
4300, 52870
4400, 205010
4500, 39130
4600, 25520
4700, 26200
4800, 47810
4900, 27460
5000, 27420
5100, 28340
5200, 30540
5300, 29940
5400, 29840
5500, 30450
5600, 31250
5700, 32410
5800, 32490
5900, 32850
6000, 37570
6100, 35360
6200, 36680
6300, 36810
6400, 72750
6500, 79290
6600, 76270
6700, 77050
6800, 78680
6900, 79890
7000, 88520
7100, 96990
7200, 91740
7300, 96800
7400, 101550
7500, 124010
7600, 100530
7700, 101020
7800, 102830
7900, 104270
8000, 110180
8100, 114750
8200, 117030
8300, 122070
8400, 119300
8500, 111630
8600, 112820
8700, 114720
8800, 116790
8900, 113500
9000, 114900
9100, 122110
9200, 121760
9300, 113150
9400, 108390
9500, 109270
9600, 115230
9700, 121760
9800, 123660
9900, 129380
10000, 132250
10100, 121090
10200, 121630
10300, 124330
10400, 129240
10500, 144940
10600, 141460
10700, 148840
10800, 137020
10900, 137650
11000, 134970
11100, 142230
11200, 146440
11300, 154500
11400, 149980
11500, 159210
11600, 145820
11700, 175280
11800, 171550
11900, 187720
12000, 168500
12100, 173280
12200, 166930
12300, 356210
12400, 74340
12500, 74730
12600, 74790
12700, 75960
12800, 78350
12900, 78180
13000, 78140
13100, 80040
13200, 83280
13300, 79450
13400, 79760
13500, 81920
13600, 83130
13700, 80830
13800, 83560
13900, 82250
14000, 85370
14100, 85650
14200, 83970
14300, 84420
14400, 87980
14500, 90110
14600, 89500
14700, 88930
14800, 87670
14900, 89580
15000, 91380
15100, 88410
15200, 86710
15300, 86780
15400, 87680
15500, 87190
15600, 89030
15700, 89110
15800, 88980
15900, 91270
16000, 91320
16100, 92560
16200, 92370
16300, 93090
16400, 93630
16500, 100500
16600, 97070
16700, 99100
16800, 320150
16900, 96580
17000, 97230
17100, 103200
17200, 105500
17300, 106510
17400, 111970
17500, 108560
17600, 112900
17700, 110640
17800, 113430
17900, 112980
18000, 114100
18100, 116790
18200, 113720
18300, 115540
18400, 117140
18500, 118550
18600, 116370
18700, 119430
18800, 119110
18900, 120380
19000, 122010
19100, 121870
19200, 120650
19300, 123110
19400, 113800
19500, 112770
19600, 113700
19700, 113480
19800, 115240
19900, 114460
20000, 115120
20100, 117610
20200, 117800
20300, 381840
20400, 157880
20500, 123690
20600, 128980
20700, 129740
20800, 133820
20900, 132750
21000, 154970
21100, 145500
21200, 150560
21300, 149980
21400, 142310
21500, 141900
21600, 141260
21700, 135520
21800, 142070
21900, 136890
22000, 133490
22100, 133240
22200, 131340
22300, 132180
22400, 129400
22500, 128560
22600, 132410
22700, 132060
22800, 132410
22900, 133540
23000, 133210
23100, 134050
23200, 137140
23300, 553360
23400, 291340
23500, 275170
23600, 285120
23700, 311490
23800, 311750
23900, 316680
24000, 347310
24100, 334180
24200, 359100
24300, 168960
24400, 169830
24500, 260820
24600, 161770
24700, 155730
24800, 151060
24900, 156520
25000, 154450
25100, 155530
25200, 156500
25300, 176820
25400, 175640
25500, 176660
25600, 179320
25700, 176870
25800, 177650
25900, 179580
26000, 178980
26100, 179620
26200, 179570
26300, 156820
26400, 158710
26500, 488090
26600, 156930
26700, 158110
26800, 158250
26900, 158580
27000, 157720
27100, 160920
27200, 162170
27300, 161380
27400, 166550
27500, 169720
27600, 168980
27700, 174990
27800, 176370
27900, 175740
28000, 175270
28100, 305220
28200, 180320
28300, 176390
28400, 187870
28500, 213050
28600, 179300
28700, 184600
28800, 188980
28900, 180410
29000, 181660
29100, 185700
29200, 188010
29300, 556830
29400, 192530
29500, 196720
29600, 283370
29700, 189350
29800, 188420
29900, 188820
30000, 189640
30100, 191180
30200, 189020
30300, 179630
30400, 181680
30500, 179260
30600, 179990
30700, 183020
30800, 185590
30900, 189310
31000, 184150
31100, 189930
31200, 186180
31300, 187250
31400, 184980
31500, 209720
31600, 232620
31700, 230590
31800, 230620
31900, 726950
32000, 199110
32100, 200940
32200, 206790
32300, 201410
32400, 205170
32500, 194970
32600, 194210
32700, 194510
32800, 196420
32900, 201230
33000, 198960
33100, 198980
33200, 200100
33300, 199760
33400, 201490
33500, 203010
33600, 200970
33700, 199240
33800, 204160
33900, 203740
34000, 212590
34100, 206080
34200, 802720
34300, 435540
34400, 493640
34500, 500350
34600, 500810
34700, 463450
34800, 507470
34900, 496690
35000, 335720
35100, 208860
35200, 213250
35300, 216510
35400, 211690
35500, 210380
35600, 221520
35700, 215360
35800, 213200
35900, 217960
36000, 217430
36100, 221460
36200, 217610
36300, 218060
36400, 215720
36500, 218960
36600, 221950
36700, 215400
36800, 228450
36900, 698400
37000, 224080
37100, 225010
37200, 226220
37300, 222140
37400, 227590
37500, 224690
37600, 239480
37700, 239730
37800, 227690
37900, 234070
38000, 231060
38100, 241130
38200, 228020
38300, 234720
38400, 240200
38500, 233590
38600, 234500
38700, 235870
38800, 235160
38900, 239300
39000, 237710
39100, 239870
39200, 246210
39300, 713030
39400, 238600
39500, 239950
39600, 242390
39700, 259880
39800, 252060
39900, 250550
40000, 249980
40100, 248710
